bank_rssd_id,bank_name,exercise_year,scenario_code,scenario_label,ppnr_amount,total_loan_losses_amount,securities_losses_amount,trading_counterparty_losses_amount,other_losses_amount,total_observed_losses_amount,provision_amount,pretax_net_income_amount,implied_pretax_from_components,pretax_identity_gap
1039502,JPMorgan Chase & Co.,2014,3,Supervisory Severely Adverse,30.4,49.7,4.1,23.6,2.1,79.5,55.5,-54.8,-54.900000000000006,0.10000000000000853
1068025,KeyCorp,2014,2,Supervisory Adverse,4.1,2,0,0,0.2,2.2,2,2,1.8999999999999997,0.10000000000000031
1068025,KeyCorp,2014,3,Supervisory Severely Adverse,3.1,3,0,0,0.2,3.2,3.3,-0.4,-0.39999999999999974,-2.7755575615628914e-16
1037003,M&T Bank Corporation,2014,2,Supervisory Adverse,5.3,3,0,0,0,3,3.5,1.8,1.7999999999999998,2.220446049250313e-16
1037003,M&T Bank Corporation,2014,3,Supervisory Severely Adverse,4.1,4.4,0,0,0.1,4.5,5.4,-1.4,-1.4000000000000008,8.881784197001252e-16
1378434,MUFG Americas Holdings Corporation,2014,2,Supervisory Adverse,2.2,2.1,0.3,0,0,2.4,2.6,-0.7,-0.7,0
1378434,MUFG Americas Holdings Corporation,2014,3,Supervisory Severely Adverse,1.1,3.8,0.6,0,0,4.3999999999999995,4.9,-4.4,-4.4,0
2162966,Morgan Stanley,2014,2,Supervisory Adverse,16.6,1.5,0.1,8.1,1.7,11.399999999999999,2,4.7,4.700000000000002,-1.7763568394002505e-15
2162966,Morgan Stanley,2014,3,Supervisory Severely Adverse,4.1,2.6,0.2,15.8,3.6,22.200000000000003,3.5,-19,-19,0
1199611,Northern Trust Corporation,2014,2,Supervisory Adverse,4.8,1,0,0,0,1,1.1,3.7,3.6999999999999997,4.440892098500626e-16
1199611,Northern Trust Corporation,2014,3,Supervisory Severely Adverse,3.2,1.5,0,0,0,1.5,1.9,1.3,1.3000000000000003,-2.220446049250313e-16
3242838,Regions Financial Corporation,2014,2,Supervisory Adverse,4.9,3.6,0,0,0,3.6,3.9,1,1.0000000000000004,-4.440892098500626e-16
3242838,Regions Financial Corporation,2014,3,Supervisory Severely Adverse,3.7,5.4,0,0,0,5.4,6.2,-2.6,-2.5,-0.10000000000000009
3981856,"Santander Holdings USA, Inc.",2014,2,Supervisory Adverse,6.6,5.1,0.1,0,0,5.199999999999999,5.4,1.1,1.0999999999999992,8.881784197001252e-16
3981856,"Santander Holdings USA, Inc.",2014,3,Supervisory Severely Adverse,6.2,7.2,0.1,0,0.1,7.3999999999999995,8.1,-2.1,-2.0999999999999996,-4.440892098500626e-16
1111435,State Street Corporation,2014,2,Supervisory Adverse,10.9,0.4,0.4,0.8,0,1.6,0.5,9.2,9.2,0
1111435,State Street Corporation,2014,3,Supervisory Severely Adverse,7,0.6,0.9,2,0,3.5,0.8,3.3,3.3,0
1131787,"SunTrust Banks, Inc.",2014,2,Supervisory Adverse,8.7,4.2,0,0,0.3,4.5,4.1,4.4,4.3,0.10000000000000053
1131787,"SunTrust Banks, Inc.",2014,3,Supervisory Severely Adverse,6.2,6.1,0,0,0.7,6.8,6.6,-1,-1.0999999999999994,0.09999999999999942
