bank_rssd_id,bank_name,exercise_year,scenario_code,scenario_label,cet1_actual_ratio,cet1_min_ratio,cet1_depletion_min,total_loan_losses_amount,ppnr_amount,ppnr_loss_absorption_ratio,rwa_growth_rate,stress_rank
NA,35 participating firms,2017,3,Supervisory Severely Adverse,12.3,7.9,4.4,429.3,492.3,0.8511410788381744,0.05067298502707869,103
1378434,MUFG Americas Holdings Corporation,2019,3,Supervisory Severely Adverse,14.1,9.7,4.4,5.1,1.8,0.33333333333333337,-0.00560747663551396,104
3226762,RBC USA Holdco Corporation,2017,3,Supervisory Severely Adverse,15.6,11.2,4.4,3.1,2.1,0.5675675675675675,0.06997084548104973,105
1132449,"Citizens Financial Group, Inc.",2017,3,Supervisory Severely Adverse,11.2,6.8,4.3999999999999995,6.8,3.5,0.5000000000000001,0.03993735317149576,106
2277860,Capital One Financial Corporation,2024,3,Supervisory Severely Adverse,13.5,9.2,4.300000000000001,53.7,39.1,0.7240740740740741,-0.0143198090692125,107
4846998,UBS Americas Holding LLC,2020,3,Supervisory Severely Adverse,21,16.7,4.300000000000001,1.1,2.5,1.0416666666666667,-0.11645962732919264,108
4846998,UBS Americas Holding LLC,2020,30,Supervisory Alternative Severe,21,16.7,4.300000000000001,1,2.4,1.043478260869565,-0.11645962732919264,109
2816906,DB USA Corporation,2017,3,Supervisory Severely Adverse,16.5,12.2,4.300000000000001,0.4,0.4,0.3333333333333333,-0.00453514739229031,110
1245415,BMO Financial Corp.,2024,3,Supervisory Severely Adverse,12.1,7.8,4.3,11,4.3,0.3909090909090909,-0.02958015267175567,111
1574834,"Credit Suisse Holdings (USA), Inc.",2020,30,Supervisory Alternative Severe,21.4,17.1,4.299999999999997,0.2,1,0.33333333333333326,-0.06202531645569627,112
4846998,UBS Americas Holding LLC,2019,3,Supervisory Severely Adverse,22.1,17.9,4.200000000000003,1.2,3.4,1.307692307692308,-0.01293900184842888,113
1032473,Deutsche Bank Trust Corporation,2016,3,Supervisory Severely Adverse,64.4,60.2,4.200000000000003,0.5,0.7,1.4,0.07438016528925623,114
1575569,"BNP Paribas USA, Inc.",2021,3,Supervisory Severely Adverse,13.9,9.7,4.200000000000001,4.8,1.3,0.27083333333333337,-0.00638297872340419,115
1078529,"BBVA Compass Bancshares, Inc.",2017,3,Supervisory Severely Adverse,11.8,7.6,4.200000000000001,4.4,2.5,0.5681818181818181,0.04000000000000004,116
1120754,Wells Fargo & Company,2014,3,Supervisory Severely Adverse,11.1,6.9,4.199999999999999,48.8,42.7,0.6640746500777606,NA,117
5006575,Barclays US LLC,2023,3,Supervisory Severely Adverse,13.7,9.5,4.199999999999999,5.6,4.4,0.5641025641025642,-0.00990990990990985,118
5280254,RBC US Group Holdings LLC,2022,3,Supervisory Severely Adverse,15,10.8,4.199999999999999,5.5,2.5,0.4310344827586207,-0.0243024302430242,119
1037003,M&T Bank Corporation,2015,3,Supervisory Severely Adverse,11.1,6.9,4.199999999999999,5.2,3.1,0.5961538461538461,0.07286166842661025,120
5006575,Barclays US LLC,2022,3,Supervisory Severely Adverse,13.5,9.3,4.199999999999999,4.9,4.1,0.5857142857142856,-0.01735776277724201,121
1078529,"BBVA Compass Bancshares, Inc.",2015,3,Supervisory Severely Adverse,10.7,6.5,4.199999999999999,3.4,1.1,0.3235294117647059,0.07267441860465117,122
4846998,UBS Americas Holding LLC,2017,2,Supervisory Adverse,21.9,17.7,4.199999999999999,1.1,2.9,1.9333333333333331,0.08266129032258067,123
1111435,State Street Corporation,2016,3,Supervisory Severely Adverse,11.6,7.4,4.199999999999999,0.6,4.2,2.210526315789474,0.07007007007007007,124
2162966,Morgan Stanley,2022,3,Supervisory Severely Adverse,15.3,11.2,4.100000000000001,10.1,25,0.9124087591240876,-0.00223313979455113,125
1378434,MUFG Americas Holdings Corporation,2017,3,Supervisory Severely Adverse,16.3,12.2,4.100000000000001,4.8,3.1,0.6200000000000001,0.03946002076843195,126
1037003,M&T Bank Corporation,2021,3,Supervisory Severely Adverse,11.4,7.3,4.1000000000000005,7.6,3.8,0.4935064935064935,-0.00964320154291224,127
2162966,Morgan Stanley,2020,3,Supervisory Severely Adverse,16.5,12.4,4.1,7.2,6.1,0.2946859903381642,-0.01829121540312881,128
3232316,HSBC North America Holdings Inc.,2018,3,Supervisory Severely Adverse,12.6,8.5,4.1,3.5,-0.8,-0.14545454545454548,-0.01349431818181822,129
1073757,Bank of America Corporation,2017,3,Supervisory Severely Adverse,11.9,7.9,4,49.7,51.3,0.714484679665738,0.04750610394140209,130
1951350,Citigroup Inc.,2015,2,Supervisory Adverse,15.3,11.3,4,32.5,53.1,1.198645598194131,0.1072275401773952,131
1073757,Bank of America Corporation,2014,2,Supervisory Adverse,12,8,4,31,61.6,1.439252336448598,NA,132
1069778,"The PNC Financial Services Group, Inc.",2017,3,Supervisory Severely Adverse,10.4,6.4,4,11.6,13.9,1.094488188976378,0.06074313408723752,133
1132449,"Citizens Financial Group, Inc.",2023,3,Supervisory Severely Adverse,10.6,6.6,4,9.9,4,0.404040404040404,-0.00926998841251445,134
5005998,BancWest Corporation,2016,3,Supervisory Severely Adverse,13.1,9.1,4,4.7,2.4,0.5106382978723404,0.08863920099875168,135
2162966,Morgan Stanley,2017,2,Supervisory Adverse,16.5,12.5,4,2.4,8.1,0.7641509433962264,0.09496753246753235,136
1032473,Deutsche Bank Trust Corporation,2015,3,Supervisory Severely Adverse,34.1,30.1,4,0.8,0.5,0.625,0.07762557077625584,137
NA,33 participating bank holding companies,2015,3,Supervisory Severely Adverse,12.3,8.4,3.9,384.9,383.6,0.728584995251662,0.09620535481652095,138
1039502,JPMorgan Chase & Co.,2018,3,Supervisory Severely Adverse,12,8.1,3.9,60.2,60,0.7202881152460984,0.02832101510890179,139
1951350,Citigroup Inc.,2022,3,Supervisory Severely Adverse,13,9.1,3.9,47.3,22,0.35369774919614144,-0.03070866141732275,140
1245415,BMO Financial Corp.,2025,3,Supervisory Severely Adverse,14,10.1,3.9,10.6,5,0.4716981132075472,-0.02741774675972083,141
1120754,Wells Fargo & Company,2015,3,Supervisory Severely Adverse,11.1,7.2,3.899999999999999,51.8,51,0.7555555555555555,0.11679840380630808,142
2816906,DB USA Corporation,2021,3,Supervisory Severely Adverse,26.7,22.8,3.8999999999999986,0.7,2.2,1.1578947368421053,-0.0561224489795919,143
1378434,MUFG Americas Holdings Corporation,2020,30,Supervisory Alternative Severe,14.5,10.7,3.8000000000000007,5.2,1.3,0.2407407407407408,-0.0105973025048169,144
1078529,"BBVA Compass Bancshares, Inc.",2016,3,Supervisory Severely Adverse,11.5,7.7,3.8,3.7,1.6,0.43243243243243246,0.07496251874062969,145
1245415,BMO Financial Corp.,2017,3,Supervisory Severely Adverse,12.1,8.3,3.799999999999999,4.8,2.6,0.5416666666666667,0.03703703703703692,146
2162966,Morgan Stanley,2018,2,Supervisory Adverse,16.9,13.1,3.799999999999999,2.4,8.9,0.7946428571428572,0.02749795807242027,147
1032473,Deutsche Bank Trust Corporation,2016,2,Supervisory Adverse,64.4,60.7,3.700000000000003,0.3,0.9,3,0.09917355371900836,148
1120754,Wells Fargo & Company,2017,3,Supervisory Severely Adverse,12.3,8.6,3.700000000000001,53.6,85.8,1.2257142857142858,0.05457285634964698,149
1951350,Citigroup Inc.,2023,3,Supervisory Severely Adverse,13.4,9.7,3.700000000000001,52.2,33.9,0.517557251908397,-0.022375065296883,150
1951350,Citigroup Inc.,2018,3,Supervisory Severely Adverse,11.9,8.2,3.700000000000001,46.9,56.7,0.8669724770642202,0.0177111716621253,151
1025608,BancWest Corporation,2015,3,Supervisory Severely Adverse,12.3,8.6,3.700000000000001,4.5,2.7,0.6000000000000001,0.08264462809917356,152
5280254,RBC US Group Holdings LLC,2020,30,Supervisory Alternative Severe,16.1,12.4,3.700000000000001,3.8,1.8,0.4390243902439025,-0.01920768307322922,153
1039502,JPMorgan Chase & Co.,2015,3,Supervisory Severely Adverse,12,8.3,3.6999999999999993,53.4,64.9,0.7325056433408579,0.0941786664846789,154
2162966,Morgan Stanley,2015,2,Supervisory Adverse,16.4,12.7,3.6999999999999993,2,11.9,1.0347826086956522,0.09975199779553608,155
3242838,Regions Financial Corporation,2015,3,Supervisory Severely Adverse,10.9,7.3,3.6000000000000005,5.2,3.1,0.5961538461538461,0.0729166666666667,156
1951350,Citigroup Inc.,2021,3,Supervisory Severely Adverse,12.2,8.6,3.5999999999999996,43.3,28.2,0.4630541871921182,-0.02403215223097109,157
1132449,"Citizens Financial Group, Inc.",2022,3,Supervisory Severely Adverse,10,6.4,3.5999999999999996,11.1,5.4,0.4864864864864865,-0.00431965442764569,158
