bank_rssd_id,bank_name,observations,years,scenarios,cet1_rmse,cet1_mae,cet1_bias,cet1_correlation,max_abs_cet1_error,mean_abs_cet1_error,high_precision_share,acceptable_or_better_share,high_model_risk_observations,moderate_model_risk_observations,watchlist_observations,high_model_risk_share,moderate_or_high_model_risk_share,threshold_miss_observations,near_threshold_observations,mean_model_risk_score,max_model_risk_score,bank_model_risk_rank
1025608,BancWest Corporation,2,1,2,0.20084245240331014,0.19416570889534146,-0.19416570889534146,NA,0.2455210219266668,0.19416570889534146,1,1,0,0,0,0,0,0,0,0.3378024193548387,0.34879032258064513,42
5005998,BancWest Corporation,2,1,2,0.19689241404383562,0.19416570889533968,0.19416570889533968,NA,0.22681996125516868,0.19416570889533968,1,1,0,0,0,0,0,0,0,0.3314516129032258,0.3346774193548387,43
NA,34 participating bank holding companies,2,1,2,0.3246329472651057,0.3246329472651057,-8.881784197001252e-16,NA,0.3246329472651066,0.3246329472651057,1,1,0,0,0,0,0,0,0,0.30972782258064513,0.3105846774193548,44
1199844,Comerica Incorporated,4,2,2,0.2928862293021497,0.2816824304399139,0,0.9860820126786236,0.3712836231103207,0.2816824304399139,1,1,0,0,0,0,0,0,0,0.2523185483870968,0.30574596774193546,45
3226762,RBC USA Holdco Corporation,2,1,2,0.04628713662764561,0.04628713662764561,-1.7763568394002505e-15,NA,0.04628713662764738,0.04628713662764561,1,1,0,0,0,0,0,0,0,0.18795362903225804,0.18820564516129032,46
NA,18 participating firms,2,1,2,0.15940020201958394,0.15940020201958394,-7.993605777301127e-15,NA,0.15940020201959193,0.15940020201958394,1,1,0,0,0,0,0,0,0,0.17948588709677418,0.17973790322580643,47
NA,33 participating firms,3,2,2,0.09086821280625784,0.0827220495041671,-5.921200758440132e-16,0.9828997689844511,0.12408307425625154,0.08272204950416709,1,1,0,0,0,0,0,0,0,0.12180779569892473,0.14828629032258064,48
NA,33 participating bank holding companies,2,1,2,0.03859877564590519,0.03859877564590519,-4.263256414560601e-14,NA,0.03859877564594782,0.03859877564590519,1,1,0,0,0,0,0,0,0,0.10226814516129032,0.10282258064516128,49
1075612,"First Citizens Bancshares, Inc.",1,1,1,2.6645352591003757e-15,2.6645352591003757e-15,2.6645352591003757e-15,NA,2.6645352591003757e-15,2.6645352591003757e-15,1,1,0,0,1,0,0,0,1,0.05685483870967742,0.05685483870967742,50
4504654,Synchrony Financial,1,1,1,3.552713678800501e-15,3.552713678800501e-15,3.552713678800501e-15,NA,3.552713678800501e-15,3.552713678800501e-15,1,1,0,0,0,0,0,0,0,0.009576612903225807,0.009576612903225807,51
NA,22 participating banks,1,1,1,1.7763568394002505e-15,1.7763568394002505e-15,-1.7763568394002505e-15,NA,1.7763568394002505e-15,1.7763568394002505e-15,1,1,0,0,0,0,0,0,0,0.007560483870967742,0.007560483870967742,52
NA,23 participating firms,1,1,1,1.7763568394002505e-15,1.7763568394002505e-15,-1.7763568394002505e-15,NA,1.7763568394002505e-15,1.7763568394002505e-15,1,1,0,0,0,0,0,0,0,0.007459677419354839,0.007459677419354839,53
NA,31 participating banks,1,1,1,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,NA,1.7763568394002505e-15,1.7763568394002505e-15,1,1,0,0,0,0,0,0,0,0.0039314516129032254,0.0039314516129032254,54
NA,32 participating banks,1,1,1,0,0,0,NA,0,0,1,1,0,0,0,0,0,0,0,0.0024193548387096775,0.0024193548387096775,55
NA,23 participating banks,1,1,1,0,0,0,NA,0,0,1,1,0,0,0,0,0,0,0,0.002217741935483871,0.002217741935483871,56
NA,33 participating banks,1,1,1,0,0,0,NA,0,0,1,1,0,0,0,0,0,0,0,0.002217741935483871,0.002217741935483871,57
